name;speicher;leistung;lat;long
Dachau;SENEC Home V3 Hybrid Duo - 7,5 kW/h;9.52;48.269895;11.373582
Gilching;SENEC Home V3 hybrid Duo - 10,0 kW/h;10.88;48.111444;11.208949
Schlüsselfeld;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.86;49.760288;10.483020
Illschwang;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.86;49.454702;11.623616
Grafling;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.75;48.911797;12.920735
Großweinstein;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.75;49.768192;11.240482
Freihung;SENEC Home V3 hybrid Duo - 5,0 kW/h;9.75;49.602693;11.847149
St.Johann;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.75;48.461232;9.285810
Forchheim;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.75;49.712294;10.993197
Holenberg;SENEC Home V3 Hybrid Duo - 7,5 kW/h;8.25;51.911772;9.551436
Dassel;SENEC Home V3 Hybrid Duo - 7,5 kW/h;7.5;51.775191;9.716031
Bad Füssing;SENEC Home V3 hybrid Duo - 5,0 kW/h;8.25;48.340370;13.166704
Gleiritsch;SENEC Home V3 Hybrid Duo - 7,5 kW/h;9.75;49.502777;12.284345
Hechningen;SENEC Home V3 hybrid Duo - 5,0 kW/h;9.75;48.345342;8.906104
Rutesheim;SENEC Home V3 hybrid Duo - 2,5 kW/h;7.5;48.810748;8.893984
Petershausen;SENEC Home V3 Hybrid Duo - 7,5 kW/h;9;48.408248;11.405972
Fischbachau;SENEC Home V3 hybrid Duo - 5,0 kW/h;9.75;47.729412;11.883689
Moos;SENEC Home V3 Hybrid Duo - 7,5 kW/h;9.75;48.761865;12.897786
Weilersbach;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.75;49.749035;11.097566
Offenberg;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.75;48.869189;12.842135
Mögglingen;SENEC Home V3 Hybrid Duo - 7,5 kW/h;9.75;48.825055;9.930065
Gaimersheim;SENEC Home V3 hybrid Duo - 5,0 kW/h;7.5;48.813596;11.326736
Geislingen;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.75;48.296325;8.712031
Gräfelfing;SENEC Home V3 hybrid Duo - 10,0 kW/h;13.5;48.122149;11.397913
Übersee;SENEC Home V3 Hybrid Duo - 7,5 kW/h;9.75;47.828046;12.401575
Freyung;SENEC Home V3 hybrid Duo - 5,0 kW/h;9.375;48.875859;13.404114
Benediktbeuern;SENEC Home V3 hybrid Duo - 10,0 kW/h;9;47.688148;11.343614
Wiesenfelden;SENEC Home V3 Hybrid Duo - 7,5 kW/h;9.75;49.042024;12.474418
Ettlingen;SENEC Home V3 Hybrid Duo - 7,5 kW/h;9;48.926393;8.333084
Walddorfhäslach;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.75;48.589476;9.092993
Schäftlarn;SENEC Home V3 hybrid Duo - 5,0 kW/h;9.75;47.998261;11.400897
Deißlingen;SENEC Home V3 Hybrid Duo - 7,5 kW/h;7.5;48.103896;8.531431
Neureichenau;SENEC Home V3 Hybrid Duo - 7,5 kW/h;9.75;48.759290;13.698894
Hüttingen;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.75;48.902773;10.057144
Blaibach;SENEC Home V3 Hybrid Duo - 7,5 kW/h;9.75;49.156573;12.774196
Aidlingen;SENEC Home V3 hybrid Duo - 10,0 kW/h;24.75;48.681903;8.803795
Wörthsee;SENEC Home V3 Hybrid Duo - 7,5 kW/h;7.5;48.081854;11.166235
